	iri	iri_label	pathogen	pathogen_label	host	host_label	plantstructure	plantstructure_label
29	OOPS:xxxxxxx	Sclerotinia sclerotiorum Sclerotinia blight of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1095762	Sclerotinia sclerotiorum (Lib.) deBary	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0000003	whole plant
30	OOPS:xxxxxxx	Septoria sp. Septoria leaf spot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:39702	Septoria sp.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0025034	leaf
32	OOPS:xxxxxxx	Verticillium albo-atrum Reinke & Berthier Verticillium wilt of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:27335	Verticillium albo-atrum Reinke & Berthier	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0025022	collective leaf structure
33	OOPS:xxxxxxx	Rhizoctonia solani Kühn Web blight of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1498287	Rhizoctonia solani Kühn	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0000003	whole plant
35	OOPS:xxxxxxx	Aphelenchoides fragariae Foliar nematode of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:90724	Aphelenchoides fragariae (Ritzema Bos) Christie	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0000003	whole plant
36	OOPS:xxxxxxx	Meloidogyne arenaria Root knot nematodes of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:6304	Meloidogyne arenaria (Neal) Chitwood	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0009005	root
37	OOPS:xxxxxxx	Meloidogyne hapla Chitwood Root knot nematodes of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:6305	Meloidogyne hapla Chitwood	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0009005	root
38	OOPS:xxxxxxx	Meloidogyne incognita Root knot nematodes of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:654580	Meloidogyne incognita (Kofoid & White) Chitwood	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0009005	root
39	OOPS:xxxxxxx	Meloidogyne javanica Root knot nematodes of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:6303	Meloidogyne javanica (Treub) Chitwood	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0009005	root
40	OOPS:xxxxxxx	Belonolaimus longicaudatus Rau Sting nematode of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:57562	Belonolaimus longicaudatus Rau	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0000003	whole plant
41	OOPS:xxxxxxx	Paratrichodorus minor Stubby root nematode of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:189296	Paratrichodorus minor (Colbran) Siddiqi	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0009005	root
43	OOPS:xxxxxxx	Impatiens necrotic spot virus Impatiens necrotic spot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:11612	Impatiens necrotic spot virus	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0000003	whole plant
44	OOPS:xxxxxxx	Tomato spotted wilt virus Spotted wilt of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:11613	Tomato spotted wilt virus	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0000003	whole plant
45	OOPS:xxxxxxx	Tobacco mosaic virus Tobacco mosaic of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:12242	Tobacco mosaic virus	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0000003	whole plant
46	OOPS:xxxxxxx	Tobacco rattle virus Tobacco ring spot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:12295	Tobacco rattle virus	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0000003	whole plant
48	OOPS:xxxxxxx	Erwinia chrysanthemi Burkholder Bacterial blight of Saintpaulia ionantha Wendl.	NCBITaxon:1435351	Erwinia chrysanthemi Burkholder	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
50	OOPS:xxxxxxx	Agrobacterium tumefaciens Crown gall of Saintpaulia ionantha Wendl.	NCBITaxon:1454226	Agrobacterium tumefaciens (Smith & Townsend) Conn	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
52	OOPS:xxxxxxx	Cylindrocarpon destructans Cylindrocarpon root rot of Saintpaulia ionantha Wendl.	NCBITaxon:1255150	Cylindrocarpon destructans (Zinssmeister) Scholten	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0009005	root
53	OOPS:xxxxxxx	Fusarium solani Fusarium root rot of Saintpaulia ionantha Wendl.	NCBITaxon:1501798	Fusarium solani (Mart.) Sacc.	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0009005	root
54	OOPS:xxxxxxx	Botrytis cinerea Pers. ex Fr. Gray mold of Saintpaulia ionantha Wendl.	NCBITaxon:1290391	Botrytis cinerea Pers. ex Fr.	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
55	OOPS:xxxxxxx	Alternaria sp. Nees Leaf spot of Saintpaulia ionantha Wendl.	NCBITaxon:1551618	Alternaria sp. Nees	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0025034	leaf
57	OOPS:xxxxxxx	Corynespora cassiicola Leaf spot of Saintpaulia ionantha Wendl.	NCBITaxon:1448308	Corynespora cassiicola (Berk. & M. A. Curtis) C. T. Wei	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0025034	leaf
58	OOPS:xxxxxxx	Phytophthora nicotianae Breda de Haan var. parasitica Phytophthora root and crown rot of Saintpaulia ionantha Wendl.	NCBITaxon:4790	Phytophthora nicotianae Breda de Haan var. parasitica (Dast.) Waterh.	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0009005	root
59	OOPS:xxxxxxx	Phytophthora nicotianae Dastur var. nicotianae Phytophthora root and crown rot of Saintpaulia ionantha Wendl.	NCBITaxon:4790	Phytophthora nicotianae Dastur var. nicotianae (Breda de Haan) Tucker	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0009005	root
60	OOPS:xxxxxxx	Phytophthora cryptogea Peth. & Laff. Phytophthora root and crown rot of Saintpaulia ionantha Wendl.	NCBITaxon:4786	Phytophthora cryptogea Peth. & Laff.	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0009005	root
61	OOPS:xxxxxxx	Oidium sp. Link Powdery mildew of Saintpaulia ionantha Wendl.	NCBITaxon:1221544	Oidium sp. Link	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
63	OOPS:xxxxxxx	Pythium sp. Pringsh. Pythium root rot of Saintpaulia ionantha Wendl.	NCBITaxon:944628	Pythium sp. Pringsh.	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0009005	root
65	OOPS:xxxxxxx	Rhizoctonia sp. D.C. Rhizoctonia root and crown rot of Saintpaulia ionantha Wendl.	NCBITaxon:992430	Rhizoctonia sp. D.C.	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0009005	root
66	OOPS:xxxxxxx	Impatiens necrotic spot virus Leaf etch of Saintpaulia ionantha Wendl.	NCBITaxon:11612	Impatiens necrotic spot virus	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0025034	leaf
67	OOPS:xxxxxxx	Anemone mosaic virus Mosaic of Saintpaulia ionantha Wendl.	NCBITaxon:459305	Anemone mosaic virus	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
68	OOPS:xxxxxxx	Aphelenchoides fragariae Foliar nematode of Saintpaulia ionantha Wendl.	NCBITaxon:90724	Aphelenchoides fragariae (Ritzema Bos) Christie	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
69	OOPS:xxxxxxx	Aphelenchoides ritzemabosi Foliar nematode of Saintpaulia ionantha Wendl.	NCBITaxon:409481	Aphelenchoides ritzemabosi (Schwartz) Steiner & Buhrer	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
70	OOPS:xxxxxxx	Criconema sp. Hofmänner & Menzel Nematodes of Saintpaulia ionantha Wendl.	NCBITaxon:312642	Criconema sp. Hofmänner & Menzel	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
71	OOPS:xxxxxxx	Helicotylenchus sp. Steiner Nematodes of Saintpaulia ionantha Wendl.	NCBITaxon:293581	Helicotylenchus sp. Steiner	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
72	OOPS:xxxxxxx	Pratylenchus pratensis Filipjev Nematodes of Saintpaulia ionantha Wendl.	NCBITaxon:293588	Pratylenchus pratensis Filipjev	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
73	OOPS:xxxxxxx	Paratylenchus projectus Micoletzky Nematodes of Saintpaulia ionantha Wendl.	NCBITaxon:293601	Paratylenchus projectus Micoletzky	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
75	OOPS:xxxxxxx	Scutellonema brachyurum Andrassy Nematodes of Saintpaulia ionantha Wendl.	NCBITaxon:363723	Scutellonema brachyurum Andrassy	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
77	OOPS:xxxxxxx	Meloidogyne arenaria Root knot of Saintpaulia ionantha Wendl.	NCBITaxon:6304	Meloidogyne arenaria (Neal) Chitwood	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0009005	root
78	OOPS:xxxxxxx	Meloidogyne hapla Chitwood Root knot of Saintpaulia ionantha Wendl.	NCBITaxon:6305	Meloidogyne hapla Chitwood	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0009005	root
79	OOPS:xxxxxxx	Meloidogyne javanica Root knot of Saintpaulia ionantha Wendl.	NCBITaxon:6303	Meloidogyne javanica (Treub) Chitwood	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0009005	root
80	OOPS:xxxxxxx	Meloidogyne incognita Root knot of Saintpaulia ionantha Wendl.	NCBITaxon:654580	Meloidogyne incognita (Kofoid & White) Chitwood	NCBITaxon:85262	Saintpaulia ionantha Wendl.	http://purl.obolibrary.org/obo/PO_0009005	root
83	OOPS:xxxxxxx	Candidatus Phytoplasma asteris Alfalfa witches’-broom of Medicago sativa L.	NCBITaxon:1671257	Candidatus Phytoplasma asteris	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
84	OOPS:xxxxxxx	Candidatus Phytoplasma aurantifolia Alfalfa witches’-broom of Medicago sativa L.	NCBITaxon:1682492	Candidatus Phytoplasma aurantifolia	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
85	OOPS:xxxxxxx	Candidatus Phytoplasma fraxini Alfalfa witches’-broom of Medicago sativa L.	NCBITaxon:1682492	Candidatus Phytoplasma fraxini	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
86	OOPS:xxxxxxx	Candidatus Phytoplasma aurantifolia Australian lucerne yellows of Medicago sativa L.	NCBITaxon:1682492	Candidatus Phytoplasma aurantifolia	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
87	OOPS:xxxxxxx	Candidatus Phytoplasma australiense Australian lucerne yellows of Medicago sativa L.	NCBITaxon:1671257	Candidatus Phytoplasma australiense	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
88	OOPS:xxxxxxx	Xanthomonas alfalfae subsp. alfalfae Bacterial leaf spot of Medicago sativa L.	NCBITaxon:366650	Xanthomonas alfalfae subsp. alfalfae (ex Riker et al. 1935) Schaad et al. 2007 (syn. Xanthomonas campestris pv. alfalfae (Riker et al.) Dye)	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0025034	leaf
89	OOPS:xxxxxxx	Pseudomonas syringae pv. syringae van Hall Bacterial stem blight of Medicago sativa L.	NCBITaxon:205918	Pseudomonas syringae pv. syringae van Hall	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009047	stem
90	OOPS:xxxxxxx	Clavibacter michiganensis subsp. insidiosus Bacterial wilt of Medicago sativa L.	NCBITaxon:28447	Clavibacter michiganensis subsp. insidiosus (McCulloch) Davis et al. (syn. Clavibacter michiganense subsp. insidiosum (McCull.) Davis et al.)	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
91	OOPS:xxxxxxx	Agrobacterium tumefaciens Crown gall of Medicago sativa L.	NCBITaxon:1454226	Agrobacterium tumefaciens (Smith & Townsend) Conn	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
92	OOPS:xxxxxxx	Xylella fastidiosa subsp. fastidiosa Wells et al. 1987 Dwarf of Medicago sativa L.	NCBITaxon:1453499	Xylella fastidiosa subsp. fastidiosa Wells et al. 1987	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
93	OOPS:xxxxxxx	Dickeya Sprout rot of Medicago sativa L.	NCBITaxon:204037	Dickeya   (syn. Erwinia chrysanthemi Burkholder et al. 1953) (syn. Erwinia herbicola (Löhnis 1911) Dye 1964)	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
94	OOPS:xxxxxxx	Pantoea agglomerans Sprout rot of Medicago sativa L.	NCBITaxon:1654067	Pantoea agglomerans (Ewing and Fife 1972) Gavini et al. 1989	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
95	OOPS:xxxxxxx	Acrocalymma medicaginis Alcorn & J. A. G. Irwin Acrocalymma root and crown rot of Medicago sativa L.	NCBITaxon:1589763	Acrocalymma medicaginis Alcorn & J. A. G. Irwin	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
98	OOPS:xxxxxxx	Colletotrichum trifolii Bain Anthracnose of Medicago sativa L.	NCBITaxon:5466	Colletotrichum trifolii Bain	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
99	OOPS:xxxxxxx	Colletotrichum destructivum O’Gara Anthracnose of Medicago sativa L.	NCBITaxon:1473215	Colletotrichum destructivum O’Gara (syn. Colletotrichum dematium f. sp. truncatum (Schwein.) Arx)	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
100	OOPS:xxxxxxx	Colletotrichum gloeosporioides Anthracnose of Medicago sativa L.	NCBITaxon:1215364	Colletotrichum gloeosporioides (Penz.) Penz. & Sacc.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
101	OOPS:xxxxxxx	Colletotrichum truncatum Anthracnose of Medicago sativa L.	NCBITaxon:5467	Colletotrichum truncatum (Schwein.) Andrus & W. D. Moore	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
102	OOPS:xxxxxxx	Rhizoctonia leguminicola Gough & E. S. Elliott Blackpatch of Medicago sativa L.	NCBITaxon:992430	Rhizoctonia leguminicola Gough & E. S. Elliott	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
103	OOPS:xxxxxxx	Botrytis cinerea Pers. Blossom blight of Medicago sativa L.	NCBITaxon:1290391	Botrytis cinerea Pers.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009047	stem
105	OOPS:xxxxxxx	Sclerotinia sclerotiorum Blossom blight of Medicago sativa L.	NCBITaxon:1095762	Sclerotinia sclerotiorum (Lib.) de Bary	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009047	stem
106	OOPS:xxxxxxx	Phoma sclerotioides Preuss ex Sacc. Brown root rot of Medicago sativa L.	NCBITaxon:1543971	Phoma sclerotioides Preuss ex Sacc. (syn. Plenodomus meliloti Dearn. & Sanford)	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
107	OOPS:xxxxxxx	Macrophomina phaseolina Charcoal rot of Medicago sativa L.	NCBITaxon:1126212	Macrophomina phaseolina (Tassi) Goid.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
108	OOPS:xxxxxxx	Pseudopeziza medicaginis Common leaf spot of Medicago sativa L.	NCBITaxon:538191	Pseudopeziza medicaginis (Lib.) Sacc.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0025034	leaf
109	OOPS:xxxxxxx	Xylaria sp. Corky root rot of Medicago sativa L.	NCBITaxon:668273	Xylaria sp.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
110	OOPS:xxxxxxx	Fusarium oxysporum Schltdl. Crown and root rot complex of Medicago sativa L.	NCBITaxon:909455	Fusarium oxysporum Schltdl.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
111	OOPS:xxxxxxx	Fusarium solani Crown and root rot complex of Medicago sativa L.	NCBITaxon:1501798	Fusarium solani (Mart.) Sacc.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
113	OOPS:xxxxxxx	Cylindrocarpon obtusiusculum Cylindrocarpon root rot of Medicago sativa L.	NCBITaxon:1255150	Cylindrocarpon obtusiusculum (Sacc.) U. Braun (syn. Cylindrocarpon ehrenbergii Wollenw.)	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
115	OOPS:xxxxxxx	Calonectria crotalariae Cylindrocladium root and crown rot of Medicago sativa L.	NCBITaxon:57138	Calonectria crotalariae (Loos) D. K. Bell & Sobers	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
116	OOPS:xxxxxxx	Calonectria ilicicola Boedijn & Reitsma Cylindrocladium root and crown rot of Medicago sativa L.	NCBITaxon:182845	Calonectria ilicicola Boedijn & Reitsma	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
117	OOPS:xxxxxxx	Calonectria kyotensis Terash. Cylindrocladium root and crown rot of Medicago sativa L.	NCBITaxon:57138	Calonectria kyotensis Terash.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
118	OOPS:xxxxxxx	Cylindrocladium clavatum Hodges & L. C. May Cylindrocladium root and crown rot of Medicago sativa L.	NCBITaxon:1664737	Cylindrocladium clavatum Hodges & L. C. May	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
119	OOPS:xxxxxxx	Cylindrocladium parasiticum Crous Cylindrocladium root and crown rot of Medicago sativa L.	NCBITaxon:1664737	Cylindrocladium parasiticum Crous	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
121	OOPS:xxxxxxx	Cylindrocladium scoparium Morgan Cylindrocladium root and crown rot of Medicago sativa L.	NCBITaxon:1664737	Cylindrocladium scoparium Morgan	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
122	OOPS:xxxxxxx	Fusarium semitectum Berk. & Ravenel Fusarium blight of Medicago sativa L.	NCBITaxon:510258	Fusarium semitectum Berk. & Ravenel	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
123	OOPS:xxxxxxx	Fusarium oxysporum f. sp. medicaginis Fusarium wilt of Medicago sativa L.	NCBITaxon:909455	Fusarium oxysporum f. sp. medicaginis (Weimer) W. C. Snyder & H. N. Hansen	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
124	OOPS:xxxxxxx	Leptosphaerulina briosiana Lepto leaf spot of Medicago sativa L.	NCBITaxon:205685	Leptosphaerulina briosiana (Pollacci) J. H. Graham & Luttr.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0025034	leaf
125	OOPS:xxxxxxx	Mycoleptodiscus terrestris Mycoleptodiscus crown and root rot of Medicago sativa L.	NCBITaxon:60495	Mycoleptodiscus terrestris (Gerd.) Ostaz. (syn. Leptodiscus terrestris Gerd.)	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
126	OOPS:xxxxxxx	Phymatotrichopsis omnivora Phymatotrichopsis root rot of Medicago sativa L.	NCBITaxon:231936	Phymatotrichopsis omnivora (Duggar) Hennebert (syn. Phymatotrichum omnivorum (Shear) Duggar)	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
127	OOPS:xxxxxxx	Erysiphe pisi D. C. Powdery mildew of Medicago sativa L.	NCBITaxon:36044	Erysiphe pisi D. C.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
128	OOPS:xxxxxxx	Leveillula taurica Powdery mildew of Medicago sativa L.	NCBITaxon:62718	Leveillula taurica (Lév.) Arn.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
129	OOPS:xxxxxxx	Rhizoctonia solani. G. Kühn Rhizoctonia damping off of Medicago sativa L.	NCBITaxon:992430	Rhizoctonia solani. G. Kühn	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
130	OOPS:xxxxxxx	Thanatephorus cucumeris Rhizoctonia damping off of Medicago sativa L.	NCBITaxon:1379297	Thanatephorus cucumeris (A. B. Frank) Donk	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
131	OOPS:xxxxxxx	Rhizopus stolonifer Rhizopus sprout rot of Medicago sativa L.	NCBITaxon:1274793	Rhizopus stolonifer (Ehrenb.) Vuill	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
132	OOPS:xxxxxxx	Uromyces striatus J. Schröt. Rust of Medicago sativa L.	NCBITaxon:5263	Uromyces striatus J. Schröt.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
133	OOPS:xxxxxxx	Sclerotinia trifoliorum Erikss. sensu Kohn Sclerotinia crown and stem rot of Medicago sativa L.	NCBITaxon:1095956	Sclerotinia trifoliorum Erikss. sensu Kohn	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009047	stem
134	OOPS:xxxxxxx	Sclerotinia sclerotiorum Sclerotinia crown and stem rot of Medicago sativa L.	NCBITaxon:1095762	Sclerotinia sclerotiorum (Lib.) de Bary	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009047	stem
135	OOPS:xxxxxxx	Athelia rolfsii Southern Sclerotium blight of Medicago sativa L.	NCBITaxon:39291	Athelia rolfsii (Curzi) C. C. Tu & Kimbr.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
137	OOPS:xxxxxxx	Phoma medicaginis Malbr. & Roum. Spring black stem and leaf spot of Medicago sativa L.	NCBITaxon:269363	Phoma medicaginis Malbr. & Roum.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0025034	leaf
138	OOPS:xxxxxxx	Leptosphaeria weimeri Shoemaker Stagonospora leaf spot and root rot of Medicago sativa L.	NCBITaxon:1542849	Leptosphaeria weimeri Shoemaker	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
141	OOPS:xxxxxxx	Stemphylium botryosum Wallr. Stemphylium leaf spot of Medicago sativa L.	NCBITaxon:644614	Stemphylium botryosum Wallr.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0025034	leaf
142	OOPS:xxxxxxx	Stemphylium vesicarium Stemphylium leaf spot of Medicago sativa L.	NCBITaxon:119933	Stemphylium vesicarium (Wallr.) E. Simmons	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0025034	leaf
143	OOPS:xxxxxxx	Cercospora medicaginis Ellis & Everh. Summer black stem and leaf spot of Medicago sativa L.	NCBITaxon:1247214	Cercospora medicaginis Ellis & Everh.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0025034	leaf
144	OOPS:xxxxxxx	Verticillium alfalfae Inderb. Verticillium wilt of Medicago sativa L.	NCBITaxon:301153	Verticillium alfalfae Inderb.	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0025022	collective leaf structure
149	OOPS:xxxxxxx	Coprinus psychromorbidus Redhead & Traquair Winter crown rot of Medicago sativa L.	NCBITaxon:1405617	Coprinus psychromorbidus Redhead & Traquair	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
152	OOPS:xxxxxxx	Heterodera medicaginis Kirjanova & Krall Alfalfa cyst nematode of Medicago sativa L.	NCBITaxon:34509	Heterodera medicaginis Kirjanova & Krall	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
153	OOPS:xxxxxxx	Meloidogyne naasi Franklin Barley root-knot nematode of Medicago sativa L.	NCBITaxon:189290	Meloidogyne naasi Franklin	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
154	OOPS:xxxxxxx	Meloidogyne artiellia Franklin British root-knot nematode of Medicago sativa L.	NCBITaxon:42426	Meloidogyne artiellia Franklin	NCBITaxon:36902	Medicago sativa L.	http://purl.obolibrary.org/obo/PO_0009005	root
